Brand,Family,Base Hardware,Edition Name,Official Name,Region,Colour,Release Date,Limited Edition,Commercial Release,Summary
Sony,PlayStation,PlayStation 2,Original Black,Sony PlayStation 2,Worldwide,Black,2000-03-04,No,Yes,The Original Black PlayStation 2 is Sony's second-generation home console and remains the best-selling video game console of all time. Its black finish became the signature look of the PS2 throughout most of its lifecycle.
Sony,PlayStation,PlayStation 2,Ceramic White,Sony PlayStation 2 Ceramic White,Japan,White,2000,No,Yes,The Ceramic White PlayStation 2 was one of the earliest official colour variants released by Sony. It offered the same hardware as the standard console in a distinctive white finish.
Sony,PlayStation,PlayStation 2,Ocean Blue,Sony PlayStation 2 Ocean Blue,Japan,Translucent Blue,2001,Yes,Yes,The Ocean Blue PlayStation 2 featured a translucent blue shell and is one of the most iconic early PS2 special editions. It remains highly desirable among collectors.
Sony,PlayStation,PlayStation 2,Automobile Metallic Silver,Sony PlayStation 2 Metallic Silver,Japan,Metallic Silver,2001,Yes,Yes,The Automobile Metallic Silver PlayStation 2 showcased a premium metallic finish inspired by automotive paint. It was released as a limited edition in Japan.
Sony,PlayStation,PlayStation 2,Sakura Pink,Sony PlayStation 2 Sakura Pink,Japan,Pink,2003,No,Yes,The Sakura Pink PlayStation 2 brought a vibrant colour option to Sony's console lineup and was aimed at expanding the console's appeal.
Sony,PlayStation,PlayStation 2,Aqua Blue,Sony PlayStation 2 Aqua Blue,Japan,Blue,2003,No,Yes,The Aqua Blue PlayStation 2 featured a rich blue finish and was released as an official retail colour variation.
Sony,PlayStation,PlayStation 2,PS2 Slim Charcoal Black,Sony PlayStation 2 Slim,Worldwide,Black,2004-10-29,No,Yes,The PlayStation 2 Slim redesigned the original console into a significantly smaller and lighter form factor while maintaining compatibility with nearly the entire PS2 library.
Sony,PlayStation,PlayStation 2,PS2 Slim Ceramic White,Sony PlayStation 2 Slim Ceramic White,Worldwide,White,2004,No,Yes,The Ceramic White PS2 Slim offered the redesigned console in a clean white finish while retaining the same compact hardware.
Sony,PlayStation,PlayStation 2,PS2 Slim Satin Silver,Sony PlayStation 2 Slim Satin Silver,Worldwide,Silver,2004,No,Yes,The Satin Silver PS2 Slim became one of the most popular colour options for the slimline console and was widely available.
Sony,PlayStation,PlayStation 2,PS2 Slim Pink,Sony PlayStation 2 Slim Pink,Europe,Pink,2006,No,Yes,The Pink PS2 Slim was released in selected markets and became one of Sony's most recognizable coloured slim consoles.
Sony,PlayStation,PlayStation 2,PS2 Slim Final Fantasy XII Pack,Sony PlayStation 2 Slim Final Fantasy XII Pack,Japan,White,2006,Yes,Yes,This official bundle celebrated the launch of Final Fantasy XII with an exclusive white PlayStation 2 Slim featuring themed branding and matching accessories.
Sony,PlayStation,PlayStation 2,PS2 Slim Gundam Edition,Sony PlayStation 2 Slim Gundam Edition,Japan,Red,2005,Yes,Yes,The Gundam Edition PlayStation 2 Slim was released to commemorate the popular Gundam franchise and featured exclusive themed artwork and packaging.
