Brand,Family,Base Hardware,Edition Name,Official Name,Region,Colour,Release Date,Limited Edition,Commercial Release,Summary
Sony,PlayStation,PlayStation 4,Original Jet Black,Sony PlayStation 4,Worldwide,Black,15-11-2013,No,Yes,"The Original Jet Black PlayStation 4 launched Sony's eighth-generation console, introducing a unified x86 architecture, an 8GB GDDR5 memory pool and the DualShock 4 controller. Its matte black finish became the signature look of the launch hardware."
Sony,PlayStation,PlayStation 4,Glacier White,Sony PlayStation 4 Glacier White,Worldwide,White,2015,No,Yes,The Glacier White PlayStation 4 offered the same launch hardware in a clean white finish and became one of the most widely available official colour variants.
Sony,PlayStation,PlayStation 4,Gold,Sony PlayStation 4 Gold,Worldwide,Gold,2015,No,Yes,The Gold PlayStation 4 featured a metallic gold finish and was released as an official retail colour option in multiple regions.
Sony,PlayStation,PlayStation 4,Silver,Sony PlayStation 4 Silver,Europe,Silver,2015,No,Yes,The Silver PlayStation 4 introduced a metallic silver finish and was released in select European markets as an official colour variant.
Sony,PlayStation,PlayStation 4,Magma Red,Sony PlayStation 4 Magma Red,Japan,Red,2015,No,Yes,The Magma Red PlayStation 4 brought a vivid red finish to Sony's console lineup and was released as an official Japanese retail colour.
Sony,PlayStation,PlayStation 4,Wave Blue,Sony PlayStation 4 Wave Blue,Japan,Blue,2015,No,Yes,The Wave Blue PlayStation 4 offered a striking blue finish and was released alongside other official colour variants in Japan.
Sony,PlayStation,PlayStation 4,Destiny Limited Edition,Sony PlayStation 4 Destiny Limited Edition Bundle,Worldwide,White / Blue,09-09-2014,Yes,Yes,"Released alongside Destiny, this limited edition PS4 featured exclusive artwork inspired by the game and is one of the earliest official PS4 themed bundles."
Sony,PlayStation,PlayStation 4,Star Wars Battlefront Limited Edition,Sony PlayStation 4 Star Wars Battlefront Limited Edition Bundle,Worldwide,White,17-11-2015,Yes,Yes,"Released to celebrate Star Wars Battlefront, this limited edition PS4 featured Stormtrooper-inspired artwork and matching controller design, making it one of the most recognisable PS4 themed bundles."
Sony,PlayStation,PlayStation 4,PS4 Slim Jet Black,Sony PlayStation 4 Slim,Worldwide,Black,15-09-2016,No,Yes,"The PlayStation 4 Slim redesigned the original console with a smaller, lighter and more energy-efficient form factor while retaining full compatibility with the PS4 library."
Sony,PlayStation,PlayStation 4,PS4 Slim Glacier White,Sony PlayStation 4 Slim Glacier White,Worldwide,White,2016,No,Yes,The Glacier White PS4 Slim offered the redesigned console in a clean white finish while maintaining identical hardware.
Sony,PlayStation,PlayStation 4,PS4 Slim Days of Play Limited Edition,Sony PlayStation 4 Slim Days of Play Limited Edition,Worldwide,Steel Black / Blue,05-06-2018,Yes,Yes,"Released for Sony's Days of Play sales event, this limited edition PS4 Slim featured a steel black finish with a blue accent line and was available for a limited time."
Sony,PlayStation,PlayStation 4,PS4 Slim 500 Million Limited Edition,Sony PlayStation 4 Slim 500 Million Limited Edition,Worldwide,Translucent Blue,24-08-2018,Yes,Yes,"Released to commemorate 500 million PlayStation consoles sold worldwide, this numbered limited edition PS4 Slim featured a translucent blue shell inspired by the original PlayStation and is one of the most collectible modern PlayStation releases."
Sony,PlayStation,PlayStation 4,PlayStation 4 Pro,Sony PlayStation 4 Pro,Worldwide,Black,10-11-2016,No,Yes,"The PlayStation 4 Pro is Sony's enhanced PS4 model featuring a more powerful GPU, support for 4K output and HDR gaming. It is designed to deliver improved visual fidelity while remaining fully compatible with the PS4 library."
Sony,PlayStation,PlayStation 4 Pro,Kingdom Hearts III Limited Edition,Sony PlayStation 4 Pro Kingdom Hearts III Limited Edition Bundle,Japan,Gold,25-01-2019,Yes,Yes,"Released alongside Kingdom Hearts III, this limited edition PS4 Pro featured exclusive gold artwork inspired by the game and matching packaging for fans of the series."
